id,eng,min
46076,"The Batagor's good, the noodle's great. Lots of food to choose from in just one place, especially since the shop's been renovated for the better. There's a musala. Lots of variety in the souvenir area, too.","Batagornyo lamak, mi nyo lamak. Ado aneka makanan nan bisa dicubo di ciek tampek, apolai kini tokonyo alah direnovasi jadi rancak. Ado musala. Area oleh-oleh banyak piliahan."
46077,"Just used it for a few days and it's already hanging, the power bank can't do a thing. Have to be taken into service","Baru pakai bara hari langsuang hang, power bank indak bisa di pakai apo-apo. Harus baok ka tampek servis."
46078,"A restaurant with amazing view, if you're here at night, try to find an outdoor spot and you'll see that every single table has shining lights on them. The food we ordered were cream soup and hot chocolate drink, very delicious and perfect during with the cold weather.","Restoran nan punyo pamandangan nan ancak, kok ka siko pado malam hari carilah tampek duduak di lua ruangan, mako kalian ka mancaliak disatiok meja lampu nan iduik, makanan nan kami pasan tu sup krim dan coklat hangek sangaiklah lamak dan lezat pas jo cuacanyo nan dingin"
46079,"Location's very romantic and snug. The atmosphere is very cosy and the service is great. The food is very appetising with a reasonable price. Would love to come back and enjoy its afternoon mood. Overall it's lovely, very wonderful! ",Tampeknyo sangaik romantis dan nyaman. Jo suasana yang sabana nyaman dan palayanan yang ancak. Makanan sabana lamak jo harago yang reasonable. Sabana nio baliak ka siko menikmati suasana sorenyo. Sacaro kasaluruahan elok sabana rancak!
46080,Food court wth a lot of tenants and a lot of options. Fitting for young people who wanna hangout and eat lots of food and drinks tailored for each of their tastes. The parking lot is also huge. ,"Makanan court jo banyak panyewa, banyak pilihan. Cocok untuak anak mudo yang nio nongkrong bakalompok sambia makan - minum sasuai salero masiang-masiang. Parkir sangaik lueh."
46081,"Thank you for the appreciation, brother. We hope he'll be able to meet our representative for the victims of Freeport's work termination soon.","Tarimo kasih bang atas apresiasinyo. Samoga beliau segera manemui wakil kami, korban phk sapihak freeport."
46082,I've come here more or less over 5 times already. The dim sum tastes amazing while also being really affordable. The place is fun and comfortable. The waiters are friendly even though there're only two of us and we don't order much. Highly recommended if you wanna eat dim seum or shabu in Balikpapan,"Hampia labiah 5 kali awak ka siko. Dim sumnyo yahud dan haragonyo tajangkau bana. Tampeknyo asyik jo nyaman bana. Pelayanan ramah walaupun awak cuma baduo tu makan ndak lo banyak macamnyo. Pokoknyo rekomendasi bana, bilo mancari dim sum atau shabu di balikpapan."
46083,"The place is fun, relaxing, and easy to spot, since it is right beside a Lotte Mart supermarket.","Tampeknyo manyanangan, santai, jo sangaik mudah ditamui, dek basabalahan jo swalayan lotte mart"
46084,KIPP received many reports of foul play in the 2018 Regional Elections,KIPP manarimo banyak laporan takait adonyo palanggaran pas pilkada 2018.
46085,"I've been here several times, the food is pretty delicious, the gazebos also makes the atmosphere cozy, especially with the sound of a small river, giving it a natural vibe. Recommended to come here at night because it's more beautiful.","Alah beberapa kali ka siko, makan lumayan lamak, saung-saungnyo mambuek suasano makan dan basantai jadi nikmat lo, ditambah lo suaro sungai ketek manambah suasano jadi batambah alami. Dianjuaan tibo ka siko malam hari karano labiah rancak."
46086,"Food here is amazing. Perfect for office meetings or dining with big family, affordable price too",Manakan di siko sangaik lamak. Cocok untuak patamuan kantua atau basamo kaluarga gadang harago tajangkau
46087,DHL opens job positions for Customer Service,DHL sadang mambuka lowongan karajo untuak customer service
46088,I tried the one near the Mayor's office. I ordered the super complete Bakso Malang. It was great. Really filling. The price was also reasonable.,Awak cubo nan di dakek kantua walikota. Awak pasan bakso malang super komplet. Rasonyo lamak. Kanyang. Harago juo masuak diaka.
46089,"Big outdoor resto, serving a huge variety of food from traditional all the way to the modern cuisine. The price varies just as much as the menu. The attractive decor layout makes the place really comfortable","Tampek makan di lua nan lueh manyajian sagalo makanan dari tradisional hinggo nan modern, dari harago nan murah meriah hinggo nan maha. Panataan dekorasi nan apik ka mambuek betah."
46090,"The must-try of this resto is the strawberry juice without milk or sugar. Trust me, it's amazing. Just 1 glass isn't nearly enough",Yang wajib bana dicubo di resto iko ado jus stroberi tanpa susu atau gulo. Asli lamak bana. Kayaknyo 1 galeh se kuranglah.
46091,"Western style restaurant with street vendor price, with beautiful natural scenery and romantic atmosphere, provided that it's not raining because it's in open space. My family's favorite restaurant","Resto makanan barat jo harago kaki limo, ditambah pamandangan alam nan indah, suasana romanatis, asal jan hujan, karano di teras dibiaan tabukak. Resto favorit kaluarga wak."
46092,"The fried chicken is amazing here. Perfect after a long trip. I came here after returning out of town, so I was absolutely starving. My stomach was filled right back up. The food was good and servers were great. Not to mention, the cashiers were beautiful","Ayam gorengnyo lamak di siko. Cocok untuak yang siap pajalanan jauah. Wak ka siko pulang dari lua kota, jadi makannyo pas litak gitu lah. Buek paruik kanyang, makanannyo lamak tu palayanannyo mantap. Kasirnyo rancak rancak"
46093,"My package, too, to this moment has yet to arrive, the status has been stuck in the delivery of the Jakarta courier since 5 days ago, JnE is horrible now.","Paket den sampai kini ndak sampai sampai lah 5 hari statusnyo jo pengiriman courier jakarta, parah kini jne"
46094,"You're selling Taliwang roasted chicken but the one I got was like rubber and not good at all, it was tasteless too, the sambal was just whatever. Overall, very disappointed and I won't be coming back for a second time.","Jua ayam baka taliwang tapi ayam nan disajian bantuak karet ndak mamuehan, dan rasonyo hamba, sambanyo juo alakadarnyo. Dari kesadonyo sangaik mangacewaan dan awak ndak akan ka duo kalinyo ka sinan liak"
46095,Some people like to litter on the side of Sukajadi Street at night. People like that should be obliterated.,Jalan. Sukajadi kalau malam suko ado warga yang manyampak an sarok di tapi jalan! urang-urang yang mode tu harus dimusnahan
46096,"My favorite in this resto is the 3-flavor-porridge. 1 huge bowl is enough for me and my husband. There's also a lot more than just porridges on the menu. The price fits the taste. And of course, you can't have porridge without a warm cup of tea. Hmmmm, tasty!",Paliang favorit di resto ko adolah bubua 3 raso. 1 mangkuak gadang bisa untuak baduo samo laki.  Tu banyak menunyo untuak tambahan makan jo bubua. Harago dan raso sasuai. Dan yang pasti kawan makan bubua adolah teh angek hmmm. Lamak!
46097,Indosat is why I am angry every day.,Indosat adalah panyebab awak berang tiok ari
46098,"This restaurant is perfect for dinner with your partner or family, with decent food and wonderful view. The mood's also great thanks to the classic decor adorning the corner all the way to the entrance.",Restoran iko marupokan tampek nan cocok untuak makan malam basamo pasangan dan kaluarga dengan makanan nan cukuik lamak dan pamandangan nan rancak. Suasanonyo pun elok jo hiasan klasik dari suduik sampai pintu masuaknyo.
46099,"The resto's concept is nothing special, but why do the drinks cost that much? I know it's a tourist trap, but tone it down a little, hehe. Gotta think twice over and over again before buying.","Konsep restorannyo biaso se, tapi harago minumannyo maha bana. Dimurahanlah stek walaupun di tampek wisata hehe. Jadi mikia bakali-kali untuak mambali."
46100,"The milk is fresh with amazing vegetables and delicious soup flavour, complete with super nice service.",Susunyo segar jo sayuran nan mantap dan raso kuah nan lamak dan pelayanan nan sangaik super ramah.
46101,"I regret ever telling ye anything, Farrel.","Manyasa den maagiah tau ang, Farrel"
46102,"So irritating, lousy parking, just blocking the street even more. And when their car gets scratched, they'll go around swearing and blaming other people.","Kesal lah, mano parkir indak batua, buek jalanan sampik se lai, giliran otonyo gores maupek-upek manuduah sumbarang urang"
46103,"This resto is recommended for you if you wanna have a meal while admiring the sunset. Because it is located in the highlands, you can enjoy the beauty of the mountainsides and the city atmosphere. The menu itself comes in a variety of flavours, from local dishes, Indonesian cuisine, to international food.","Resto ko awak rekomendasian untuak sanak singgahi jiko sanak nio basantap sambia manikmati sunset. Karano lataknyo nan barado di dataran tinggi, sanak dapek manikmati kaindahan alam pagunuangan dan suasano kota. Untuak makanannyo sendiri ado babarapo cito raso, dari masakan daerah, indonesia hinggo internasional."
46104,"Hella tiring, going back and forth from and to the campus at late afternoon on top of the endless group projects, the deadlines for the assignments are also hella tight.","Sangaik mamanekan, pulang baliak ka kampus sore bana ditambah karajo kelompok nan indak ado abisnyo, deadline tugas mepet bana pulo"
46105,Bali has lots lots of islands to be visited,Bali punyo banyak pulau nan bisa dikujuangan.
46106,"I had breakfast in this restaurant on the 18th floor and I just so happened to get the outdoor seat or the balcony. The seat cushion had a lot of dirt in it. Not to mention the strong wind gave us a lousy breakfast experience. If you wanna eat in this resto, make sure to eat inside, it's a lot more comfortable that way.","Awak makan pagi di restoran lantai 18 ko tu kebetulan awak dapek tampek duduak di lua atau balkon. Busa tampek duduaknyo bantuak banyak noda kumuah. Angin kancang sampai makan pagi ndak nyaman. Awak saranan bilo sanak makan di restoran ko, piliah tampek duduak di dalam untuak labiah nyaman."
46107,"The expansion of the oil refinery owned by Pertamina, Ltd. has employed over 20 thousand workers",Paluehan kiliang minyak pt pertamina mampakarajoan 20 ribu labiah tanago karajo.
46108,"The restaurant in Padma Hotel is one of the comfiest places with breathtaking views of the hills, valleys, and green trees. Because of those, we can enjoy the meals in a different atmosphere. The food here is quite varied and has a lot of options, not unlike other restos in Bandung. But here, there's a selection of traditional menus that'll give you a unique taste as you enjoy nature's beauty.","Restoran di padma hotel tamasuak salah satu tampek nan nyaman dan rancak dengan pamandangan bukik, lambah jo pohon-pohon hijau. Sahinggo bisa manikmati makanan dengan suasano nan babeda. Makanan di siko cukuik baragam dan banyak piliahan indak jauah beda jo restoran-restoran lain di bandung, tapi di siko ado menu piliahan tradisional nan mambuek sanak bisa marasoan khas makanan nan babeda sambia manikmati alam."
